one,一,eins,
crack (v.),裂,Spalt,aufbrechen
dedicated,耿,aufrichtig,redlich
shame (n.),恥,Schande,Blamage
edit,輯,kompilieren,zusammenstellen
take a photo,攝,fotografieren,aufnehmen
take a wife,娶,zur Frau nehmen,
lend a hand,扶,unter die Arme greifen,zur Seite stehen
splendid,熙,voller Leben,geschäftig
kidneys,腎,Nieren,
recruit (v.),募,anwerben,rekrutieren
threaten,脅,bedrohen,einschüchtern
inferior,劣,minderwertig,unterlegen
merit (n.),勳,Verdienst,ehrenvolle Leistung
advise,勸,anraten,gut zureden
plunder (v.),劫,überfallen,plündern
anger (n.),怒,Zorn,Wut
eggplant,茄,Aubergine,
seemingly,彷,scheinbar,wie … aussehend
go on an expedition,征,einen Feldzug unternehmen,eine Expedition führen
follower,徒,Anhänger,Jünger
undecided,徊,unentschlossen,zögerlich
solicit,徵,einziehen,anfordern
chasten,懲,maßregeln,züchtigen
comply with,循,sich halten an,befolgen
thorough,徹,gründlich,tiefgreifend
service,役,Dienst,Pflicht
develop,衍,sich ausweiten,entwickeln
weight,衡,Gewicht,
title,銜,Titel,Rangbezeichnung
bald,禿,glatzköpfig,kahl
decrepit,頹,heruntergekommen,verfallen (Adj.)
seconds,秒,Sekunde,
a little (adv.),稍,ein bisschen,ein wenig
rise again,穌,wiederauferstehen,auferstehen
revive,蘇,wiederbeleben,zu sich kommen
wilt,萎,welken,eingehen
sticky,黏,klebrig,
host (n.),黎,Schar,Menschenmenge
wall paint,漆,Lackfarbe,
knees,膝,Knie,
dense,稠,dicht,
draft (n.),稿,Entwurf,Manuskript
clever,穎,clever,
tax (n.),稅,Steuer,
crops,稼,Feldfrüchte,Getreide
fungus,菌,Bakterie,Pilz
immature,稚,unreif,kindlich
harvest (v.),穫,ernten,
private (adj.),私,privat,
order (n.),秩,Reihenfolge,Ordnung
shell (n.),殼,Schale,
cereal,穀,Getreide,Korn
shovel (n.),鍬,Spaten,
hold tight,揪,packen,zerren
pear,梨,Birne,
plow (n.),犁,Pflug,
calendar,曆,Kalender,
cake,糕,Kuchen,Reiskuchen
batter,糊,Brei,Kleister
glue (v.),粘,kleben,
provisions,糧,Verpflegung,
chrysanthemum,菊,Chrysantheme,
rough,糙,rau,grob
grain,粒,Korn,Körnchen
brilliant,粲,brillant,strahlend lächelnd
powder,粉,Pulver,
squint (v.),瞇,die Augen zusammenkneifen,blinzeln
currency,幣,Währung,
die a violent death,斃,gewaltsam sterben,
shelter (n.),蔽,abschirmen,Schutz
cast aside,撇,beiseite legen,vernachlässigen
fraud,弊,Betrug,Missstand
bamboo shoot,筍,Bambussprosse,
tube,筒,Röhre,dickes Bambusrohr
construct,築,errichten,bauen
stupid,笨,dumm,tollpatschig
arrow,箭,Pfeil,
tendon,筋,Sehne,
V,伍,V,
animosity,仇,Feindschaft,Groll
start (v.),倡,initiieren,anregen
father‘s older brother,伯,älterer Bruder des Vaters,
mid-,仲,mittlerer,
estimate (v.),估,schätzen,abschätzen
detect,偵,(verdeckt) ermitteln,auskundschaften
altogether (adv.),俱,sämtlich,allesamt
lateral (adj.),側,seitlich,
bless,佑,segnen,
assistant,佐,Assistent,Beistand
meticulous,仔,Jungtier,sorgfältig
comely,俏,chic,schnippisch hübsch
if,倘,falls,
count on,倚,sich stützen auf,sich verlassen auf
superb,佳,ausgezeichnet,erstklassig
serve,侍,bedienen,dienen
mate (n.),伙,Kumpan,Gefährte
stay overnight,宿,übernachten,Nachtlager
bend over,伏,sich beugen,kauern
wrapping cloth,袱,Packtuch,Einwickelstoff
steal (v.),偷,heimlich stehlen,stehlen
fell,伐,fällen,niederschlagen
wear at the waist,佩,am Gürtel tragen,am Körper anlegen
announce,佈,bekanntgeben,verbreiten
live abroad,僑,im Ausland leben,Übersee-…
one hundred million,億,hundert Millionen,
incline (v.),傾,sich neigen,
insult (v.),侮,beleidigen,erniedrigen
times,倍,-mal,Vielfaches
mimic (v.),仿,imitieren,nachahmen
haughty,傲,überheblich,stolz
Buddhist monk,僧,buddhistischer Mönch,
without haste,悠,gemächlich,gelassen
Russia,俄,Russland,
rite,儀,Zeremonie,Ritus
nephew,侄,Neffe,
immortal (n.),仙,Unsterblicher,
custom,俗,Sitte,Brauch
repay,償,zurückzahlen,
for sleeping,臥,Schlaf-,
close to,傍,nahe bei,
we (exclusive),俺,wir (ausschließend),
inundate,淹,überschwemmen,überfluten
conceal,掩,verbergen,verhüllen
prod (v.),催,antreiben,drängen
wreck (v.),摧,zerbrechen,zerschlagen
take along,攜,mit sich führen,mitnehmen
symbol,符,Symbol,Zeichen
loan (n.),貸,Darlehen,Kredit
Holland,荷,Niederlande,
battle (n.),仗,Schlacht,Kampf
cane,杖,Rohrstock,Spazierstock
press from both sides,夾,von beiden Seiten zusammendrücken,
chivalrous person,俠,ritterliche Person,
cheek,頰,Wange,
narrow (adj.),狹,schmal,eng
coerce,挾,unter Druck setzen,nötigen
gorge (n.),峽,Schlucht,Engpass
umbrella,傘,Schirm,
assemble,聚,sich versammeln,zusammenkommen
frustrate,挫,vereiteln,durchkreuzen
saber,劍,Säbel,Schwert
restrain,斂,sich zurückhalten,zügeln
pick up (v.),撿,auflesen,aufheben
sign (v.),簽,unterschreiben,
thrifty,儉,sparsam,haushälterisch
lambsquarters,萊,Weißer Gänsefuß,
kudzu,葛,Kudzu,
brown,褐,braun,
use up,竭,sich verausgaben,aufbrauchen
take a rest,歇,rasten,Pause machen
reveal,揭,entlarven,enthüllen
promiscuous,淫,unzüchtig,ausschweifend
erect (adj.),挺,aufrecht,aufrecht stehen
tile,瓦,Dachziegel,
porcelain,瓷,Porzellan,
bottle,瓶,Flasche,
aluminium,鋁,Aluminium,
palace,宮,Palast,
lustrous,瑩,kristallklar,durchscheinend
firefly,螢,Glühwürmchen,
scoop up,撈,herausfischen,herauskeschern
glowing,煥,glänzend,in neuem Glanz erstrahlend
whirl (v.),旋,wirbeln,kreisen
kiss (v.),吻,küssen,
hurriedly,匆,eilig,hastig
tin,錫,Zinn,
watchful,惕,wachsam,auf der Hut
bits,屑,Krümel,Schnipsel
urine,尿,Urin,
brush (n./v.),刷,Bürste,
rhinoceros,犀,Nashorn,
tardy,遲,verspätet,trödelnd
leak (v.),漏,undicht sein,auslaufen
fart (n.),屁,Furz,
footwear,履,Fußbekleidung,
excrement,屎,Kot,
folding screen,屏,Wandschirm,Paravent
knuckle under,屈,sich unterwerfen,nachgeben
excavate,掘,ausgraben,freilegen
ruler,尺,Lineal,
eyebrows,眉,Augenbraue,
flatter,媚,schmeicheln,umgarnen
shoulder (n.),肩,Schulter,
jealous of,妒,eifersüchtig,neidisch
tears,淚,Tränen,
enlighten,啟,aufklären,erleuchten
fan (n.),扇,Fächer,
can‘t help but,奈,nicht umhin können,hilflos gegenüber
funds,款,Geldsumme,Geldbetrag
evil spirit,祟,böser Geist,Fluch
wish well,祝,Glück wünschen,gratulieren
propitious,祥,glückverheißend,
confidential,祕,vertraulich,geheim
console (v.),慰,trösten,ermutigen
luxuriant,蔚,üppig,üppig wachsend
garlic,蒜,Knoblauch,
palm tree,棕,Palme,
universe,宙,Universum,Weltall
axle,軸,Achse,
sleeve,袖,Ärmel,
flute,笛,Flöte,
female,坤,weiblich,
groan,呻,stöhnen,ächzen
smooth,暢,reibungslos,ungehindert
partnership,夥,Gemeinschaft,Partnerschaft
nest (n.),巢,Nest,
flora,棵,Flora,
naked,裸,nackt,
envelop,裹,einwickeln,umhüllen
analyze,析,analysieren,
distinct,晰,klar,deutlich
celery,芹,Sellerie,
discount (n.),折,Rabatt,Preisnachlass
philosopher,哲,Philosoph,
pass away,逝,versterben,ableben
vow (n./v.),誓,Schwur,geloben
elated,欣,freudig,begeistert
uncover,掀,etwas lüften,hochheben
supplicate,祈,anflehen,erbitten
conscience-stricken,慚,vom Gewissen geplagt,beschämt
towering,嶄,emporragend,sich auftürmend
take apart,拆,demontieren,abreißen
blow up,炸,sprengen,explodieren lassen
swindle,詐,schwindeln,betrügen
wife,妻,Ehefrau,
miserable,淒,trostlos,kläglich
perch (v.),棲,nisten,
goblin,煞,Kobold,böser Geist
nimble,捷,flink,gewandt
wield,秉,in der Hand halten,ausüben
peel off,剝,Haut abziehen,häuten
collection,彙,Sammlung,Zusammenstellung
double (adj.),兼,doppelt,
earn,賺,Geld verdienen,verdienen
dislike (v.),嫌,nicht mögen,sich beklagen über
unassuming,謙,bescheiden,zurückhaltend
apology,歉,Entschuldigung,Bedauern
inexpensive,廉,preiswert,günstig
sickle,鐮,Sichel,
drapes,簾,Gardine,Vorhang
unshut (v.),睜,die Augen aufschlagen,weit öffnen
struggle (v.),掙,sich abmühen,sich abrackern
Chinese zither,箏,chinesische Zither,
pool (n.),塘,Weiher,Becken
arrest (v.),逮,verhaften,
bondservant,隸,Leibeigener,Untergebener
generous,慷,freigiebig,großzügig
chaff,糠,Spreu,Kleie
mess around,耍,herumalbern,
-proof,耐,resistent gegen …,
wheeze,喘,aus der Puste sein,
conjecture (v.),揣,vermuten,
messed up,糟,ruiniert,in schlechtem Zustand
meet with,遭,stoßen auf,erleiden
trough,槽,Trog,Mulde
quiver (v.),抖,zittern,bibbern
mediocre,庸,mittelmäßig,gewöhnlich
put to work,傭,anstellen,beschäftigen
fling (v.),甩,wegschleudern,abwerfen
rue (v.),惜,bedauern,nachtrauern
arrange,措,Maßnahmen ergreifen,arrangieren
forsake,棄,preisgeben,verlassen
swallow (n.),燕,Schwalbe,
screen (v.),遮,verdecken,abschirmen
littoral (n.),畔,Ufer,Ufer (nicht maritim)
blend (v.),拌,vermengen,durchmischen
betray,叛,verraten,
voucher,券,Gutschein,Coupon
rattan,藤,Rattan,
state of affairs,狀,Lage,Zustand
wall,牆,Mauer,
old cooking pot,鼎,Dreifußkessel,
get some shuteye,寢,ruhen,sich auf's Ohr hauen
invade,侵,eindringen,einfallen
immerse,浸,einweichen,eintauchen
stolen goods,贓,Diebesgut,
hide (v.),藏,verstecken,aufbewahren
guts,臟,Eingeweide,
award (n.),獎,Auszeichnung,
thick liquid,漿,dickflüssige Masse,
oar,槳,Ruder,
Jiang,蔣,Jiang,
abyss,淵,Abgrund,tiefes Wasser
solemn,肅,feierlich,ehrfürchtig
howl (v.),嘯,heulen,aufheulen
desolate,蕭,öde,trostlos
rust (n./v.),鏽,Rost,rosten
sesame,芝,Sesam,
devalue,貶,entwerten,herabsetzen
nonspecific,泛,vage,allgemein
askew,歪,schräg,schief
rectify,矯,korrigieren,berichtigen
short of stature,矮,klein gewachsen,
sigh–ay-ay,唉,Oh je,
fine dust,埃,feiner Staub,
suffer,挨,erleiden,erdulden
cluster (n.),簇,Traube,Ansammlung
thatch (n.),茅,Stroh,Reet
tangerine,橘,Mandarine,
relax,舒,sich entspannen,sich wohlfühlen
noble,弘,großherzig,groß angelegt
barbarian,夷,Barbar,
maternal aunt,姨,Tante mütterlicherseits,
dividing line,疆,Grenze,Grenzlinie
stiff (adj.),僵,steif,verkrampft
ginger,薑,Ingwer,
porridge,粥,Reisbrei,
bring to a boil,沸,zum Kochen bringen,kochend
caress (v.),拂,sanft streifen,streicheln
shave (v.),剃,rasieren,
snot,涕,Rotz,Nasenschleim
ladder,梯,Leiter,
decayed,朽,verrottet,morsch
employ (v.),聘,engagieren,einstellen
sacrifice (v.),犧,opfern,
elder sister,姊,große Schwester,
lie down,躺,sich hinlegen,
dodge (v.),躲,ausweichen,sich verstecken
stoop (v.),躬,sich bücken,sich verbeugen
hanker,嗜,eine Schwäche haben für,verlangen nach
flog,拷,foltern,
summer heat,暑,Sommerhitze,
behold,睹,wahrnehmen,erblicken
gamble (v.),賭,wetten,um Geld spielen
extravagant,奢,extravagant,
stop up,堵,verstopfen,blockieren
boil (v.),煮,kochen,sieden
various,諸,verschiedene,mehrere
put in storage,儲,einlagern,ansparen
slaughter,屠,abschlachten,
add your John Hancock,署,seinen Friedrich Wilhelm daruntersetzen,
yam,薯,Süßkartoffel,
come back,歸,zurückkehren,
sift,篩,durchsieben,
coffin,棺,Sarg,
dad,爹,Vati,
axe,斧,Axt,
bite (v.),咬,beißen,
sly,狡,schlau,hinterlistig
prostrate oneself,趴,sich auf den Bauch legen,
trample,踏,drauftreten,
tread on,踐,mit Füßen treten,niedertrampeln
hoof,蹄,Hufe,
catch (v.),捉,fangen,
step on,踩,auf etwas treten,
hop (v.),蹦,hüpfen,
slump (v.),跌,hinfallen,absacken
urge (v.),促,drängen,voranbringen
kick (v.),踢,kicken,treten
impetuous,躁,aufbrausend,
chirping (n.),噪,lautes Gezeter,Schnattern
bath,澡,Bad,
algae,藻,Alge,
exercise (n.),操,körperliche Übung,Ausübung
parched,燥,ausgedörrt,
leap (v.),躍,emporspringen,einen Satz machen
jab (v.),戳,stoßen,hineinstochern
show off (v.),耀,prunken,blenden
cunning,猾,durchtrieben,
marrow,髓,Knochenmark,
dirty,髒,schmutzig,
whirlpool,渦,Strudel,
pot,鍋,Topf,
snail,蝸,Schnecke,
misfortune,禍,Unglück,Unheil
footpath,陌,Weg zwischen Feldern,Nebenpfad
rift (n.),隙,Riss,
steep,陡,steil,abschüssig
barrier,障,Barriere,
accompany,陪,begleiten,
tunnel (n.),隧,Tunnel,
plunge (v.),墜,abstürzen,herabfallen
undesirable,陋,dürftig,unerwünscht
dig (v.),挖,graben,
kiln,窯,Brennofen,
peep (v.),窺,spähen,
den,窟,Felsenhöhle,Schlupfwinkel
strait (adj.),窄,eng,
extract (v.),榨,auspressen,
poverty-stricken,窘,in Bedrängnis,in Not
poor,窮,arm,am Ende seiner Mittel
hollow (n.),窩,Bau,Schlupfwinkel
body cavity,腔,Körperhohlraum,
tired,累,müde,
spiral shell,螺,Schneckenhaus,Spiralmuschel
yarn,紗,leichter Faden,Gaze
ample,綽,mehr als genug,großzügig bemessen
acquaint,紹,jmdn. vermitteln,
long-winded,絮,schwafeln,
go around,繞,umgehen,umrunden
bind (v.),紮,binden,zusammenschnüren
continuous,綿,ununterbrochen,
paint (v.),繪,malen,
web,絡,Netzwerk,Verflechtung
silk fabric,綢,Seidenstoff,
down (n.),絨,Daune,Flaum
conclude,締,einen Vertrag schließen,
purple,紫,violett,
numerous,繁,zahlreich,überladen
spin (v.),紡,spinnen,
cocoon,繭,Kokon,
wind around,纏,verwickeln,umschlingen
delicate,緻,feinstrukturiert,kunstvoll
fasten,繫,festbinden,befestigen
let in,納,annehmen,einlassen
disorderly,紛,unordentlich,durcheinander
shrink (v.),縮,schrumpfen,
sum up,綜,zusammenfassen,
gentry,紳,Landadel,Großbürger
reason (n.),緣,Verbindung,Grund
inception,緒,Anfang,Einstieg
wring,絞,wringen,
unhurried,緩,ohne Hast,gemächlich
warm (adj.),暖,warm,
provide assistance,援,Hilfe leisten,unterstützen
large rope,索,das Tau,Strick
vibrant,勃,aufwallend,heftig
head-hinge,脖,Hals,
shell out,繳,entrichten,aushändigen
request the presence of,邀,einladen,jmds. Anwesenheit erbitten
embroidery,繡,Stickerei,
edible root,蘿,Wurzelgemüse,
gong,鑼,Gong,
make the rounds,邏,patrouillieren,Streife gehen
bamboo basket,籮,Bambuskorb,
barbaric,蠻,barbarisch,
neck (n.),頸,Hals,Genick
plant stem,莖,Stängel,
powerful,勁,kräftig,mächtig
trail (n.),徑,Fußweg,
creek,溪,Bach,
young,幼,jung,
secluded,幽,abgelegen,
wet,濕,nass,
mysterious,玄,unergründlich,unerklärbar
livestock,畜,Nutzvieh,
save up,蓄,ansammeln,horten
lead along,牽,an der Leine führen,mitführen
bowstring,弦,Bogensehne,
magnetism,磁,Magnetismus,
nourish,滋,nähren,gedeihen lassen
kindhearted,慈,barmherzig,liebevoll
deride,譏,verspotten,verhöhnen
luminous,爍,funkelnd,glänzend
modest,遜,bescheiden,zurückhaltend
unload,卸,entladen,
imperial,御,kaiserlich,
withstand,禦,sich zur Wehr setzen,verteidigen
nest eggs,卵,Ei,Laich
hatch (v.),孵,brüten,
breast,乳,weibliche Brust,Milch
float (v.),浮,an der Oberfläche schwimmen,treiben
captive,俘,Kriegsgefangener,Gefangener
minister,卿,Minister,Hofbeamter
trade (n.),貿,Handel,
pomegranate,榴,Granatapfel,
doubt (v.),疑,zweifeln,
obstruct,礙,behindern,hemmen
congeal,凝,gerinnen,
simulate,擬,simulieren,nachahmen
exquisite,玲,Klang von Jade,exquisit
small bell,鈴,Glöckchen,Klingel
actor,伶,Schauspieler,Operndarsteller
mountain range,嶺,Gebirgskette,
bucket,桶,Eimer,
read aloud,誦,laut lesen,
gush (v.),湧,sprudeln,hervorquellen
eagerly,踴,hüpfen,eifrig
exam paper,卷,Prüfungsbogen,
circle (n.),圈,Kreis,
roll up,捲,zusammenrollen,einrollen
worn out,倦,erschöpft,müde
model,範,Vorbild,Modell
resentment,怨,Groll,Missgunst
winding (adj.),宛,geschwungen,gewunden
wrist,腕,Handgelenk,
tactful,婉,taktvoll,höflich
bowl,碗,Schüssel,
deceitful,詭,hinterhältig,arglistig
kneel,跪,knien,
popular,輿,Volks-,öffentliche Meinung
reward (n./v.),酬,vergüten,entlohnen
pour wine,酌,einschenken,
brutal,酷,brutal,grausam
mellow wine,醇,vollmundiger Wein,
vinegar,醋,Essig,
drunk,醉,betrunken,
unmixed,粹,unvermischt,pur
emerald green,翠,jadegrün,türkisgrün
shattered,碎,zerbrochen,zerschmettert
sour,酸,sauer,
shuttle (n.),梭,Webschiffchen,
lofty,峻,steil aufragend,schroff
pretty,俊,gut aussehend,ansehnlich
quarrel (n.),釁,Streit,Zwietracht
thick sauce,醬,Soße,Paste
just like,猶,gleichsam,wie wenn
found (v.),奠,begründen,fundieren
squat (v.),蹲,hocken,
tease (v.),逗,necken,zum Lachen bringen
(rhetorical question),豈,(rhetorische Frage),
triumphant,凱,siegreich,triumphierend
perpendicular,豎,vertikal,aufrecht stellen
commend,嘉,loben,anerkennend
giggling,嘻,Gekicher,
alliance,盟,Bündnis,
Mencius,孟,Menzius,
fierce,猛,ungestüm,
flourishing,盛,in voller Blüte,
small cup,盞,kleiner Becher,
small box,盒,Schachtel,
master thief,盜,Diebstahl,Räuber
swing (v.),盪,schaukeln,hin und her pendeln
calm (adj.),寧,(seelen-)ruhig,friedvoll
replete,盈,prall gefüllt,voll bis zum Überlaufen
basin,盆,Becken,Topf
trophy,盃,Pokal,
amass,蘊,anhäufen,ansammeln
indiscriminate,濫,wahllos,unkontrolliert
probe (v.),鑑,prüfen,inspizieren
abashed,尷,peinlich berührt,*Kompositum
embarrassed,尬,verlegen sein,*Kompositum
toss (v.),拋,schleudern,werfen
indulge in,耽,sich verlieren in,sich hingeben
pillow,枕,Kissen,
view (v.),覽,ansehen,besichtigen
take on,攬,an sich ziehen,übernehmen
cable (n.),纜,Kabel,
ruthless,狠,rücksichtslos,schonungslos
hate (v.),恨,hassen,
upper crust,爵,Adelstitel,Adel
chew (v.),嚼,kauen,
wholeheartedly,懇,ernstlich,eindringlich
reclaim,墾,urbar machen,Neuland gewinnen
leopard,豹,Leopard,
cat,貓,Katze,
mien,貌,Gesichtsausdruck,Erscheinung
lucent,朗,hell und klar,heiter
wolf,狼,Wolf,
starving,飢,ausgehungert,Hunger leiden
spare (v.),饒,verschonen,
ornaments,飾,Schmuck,Dekoration
beverage,飲,Getränk,
eat away,蝕,etwas zerfressen,
sated,飽,gesättigt,satt sein
bread,饅,Dampfbrötchen,Mantou
cookie,餅,Fladen,Gebäck
dumpling,餃,Teigtasche,
hungry,餓,hungrig,
submerge,潛,untertauchen,sich verbergen
silkworm,蠶,Seidenraupe,
irrigate,溉,bewässern,
incensed,慨,entrüstet,
duckweed,萍,Wasserlinse,
scale (n.),秤,Waage,
confuse,淆,verwechseln,durcheinanderbringen
Chinese mugwort,艾,Beifuß,
Good grief!,哎,Au weia!,
pull out,拔,ausrupfen,herausreißen
climb (v.),攀,klettern,
stockpile (v.),屯,lagern,anhäufen
pause (n./v.),頓,innehalten,Pause
ton,噸,metrische Tonne,
unadulterated,純,pur,rein
fall due,屆,fällig werden,Jahrgang
teeth,齒,Zahnung,Zahn
shows,齣,Show,Szene
length of service,齡,Alter,Dienstalter
turbulent,洶,stürmisch,
fence,籬,Zaun,
crime,辜,Vergehen,Verbrechen
butcher (v.),宰,schlachten,
differentiate,辨,differenzieren,auseinanderhalten
braid (n.),辮,Zopf,
arm (n.),臂,Arm,
split (v.),劈,spalten,
analogy,譬,Gleichnis,
out-of-the-way,僻,entlegen,abgeschieden
translate,譯,übersetzen,
select (v.),擇,auswählen,sich entscheiden für
swamp (n.),澤,Sumpf,
pad (n./v.),墊,Polster,
earnest,摯,ernsthaft,
entangle,糾,verwickeln,verstricken
bully (v.),凌,schikanieren,
water caltrop,菱,Wassernuss,
mausoleum,陵,Mausoleum,
cough (v.),咳,husten,
brake (v.),剎,bremsen,
cry out,嚷,grölen,lautstark schimpfen
brew (v.),釀,fermentieren,
stronghold,塞,Grenzfestung,Bollwerk
stockade,寨,befestigte Siedlung,
constitution,憲,Verfassungstext,
sunny,晴,sonnig,
guess,猜,raten,
pacify,靖,befrieden,
debt,債,Schulden,
remains,蹟,Überrest,Spur
domestic animal,牲,Nutztier,Opfertier
impressive,隆,prächtig,feierlich
fishy smell,腥,Fischgeruch,
orangutan,猩,Orang-Utan,
awaken,醒,aufwachen,erwachen
visionless,瞎,blindlings,blind
administer,轄,zuständig sein für,
contract (n.),契,Vertrag,
adore,拜,anbeten,verehren
spotless,潔,blitzeblank,makellos
bee,蜂,Biene,
peak (n.),峰,Gipfel,
cutting edge,鋒,Schneide,
chance upon,逢,jmdn. treffen,zufällig begegnen
disheveled,蓬,zerzaust,buschig
sew,縫,nähen,
play an instrument,奏,ein Musikstück vortragen,
gather together,湊,zusammentragen,
Qin,秦,Qin,
foolish,蠢,einfältig,
carry in both hands,捧,mit beiden Händen tragen,
sigh (v.),嘆,seufzen,
arduous,艱,mühsam,beschwerlich
beach (n.),灘,Strand,
complete (v.),畢,vollenden,beenden
saliva,唾,Spucke,
recite,吟,rezitieren,aufsagen
greedy,貪,gierig,
stringed instrument,琴,Saiteninstrument,Zither
chestnut,栗,Kastanie,
deep pool,潭,tiefer Teich,Tümpel
resituate,遷,umsiedeln,verlegen
overturn,覆,etw. umkippen,etw. umstürzen
flutter (v.),飄,im Wind wehen,flattern
boss (n.),闆,Chef,
broad,闊,breit,
close (v.),閉,zumachen,
moisten,潤,befeuchten,
cabinet,閣,Kabinett,
put aside,擱,beiseite schieben,
explicate,闡,ausführlich erklären,erläutern
peruse,閲,durchsehen,überprüfend lesen
stuffy,悶,stickig,
flash (v.),閃,Blitz,
valve,閥,Ventil,
floodgate,閘,Schleuse,
repudiate,闢,erschließen,nicht anerkennen
ash-colored,蒼,aschgrau,
rob,搶,weg-/entreißen,rauben
humble (adj.),菲,dürftig,meine Wenigkeit
lifetime,輩,Lebenszeit,
sad,悲,traurig,
irresolute,徘,hin und her gehen,fluktuieren
annihilate,殲,ausrotten,vernichten
bamboo slip,籤,Los,Orakellos,
fiber,纖,Faser,
gullet,喉,Kehle,
monkey,猴,Affe,
Korea,韓,Korea,
disobey,違,zuwiderhandeln,
latitude,緯,Breitengrad,
pole,竿,Bambusstange,
rarely,罕,selten,rar
veranda,軒,Veranda,
liver,肝,Leber,
publication,刊,Veröffentlichung,
sweat (n.),汗,Schweiß,
shaft,桿,Schaft,
bold,悍,verwegen,draufgängerisch
slowly,徐,geruhsam,gemächlich
recount (v.),敘,schildern,berichten
smear (v.),塗,beschmieren,bestreichen
slanting,斜,schief,
flared horn,喇,Suona,
hack (v.),嗽,krampfhaft husten,ähä-ähä-ähä
rely on,賴,angewiesen sein auf,
lazy,懶,faul,
tender (adj.),嫩,zart,grün hinter den Ohren
refine,煉,veredeln,
chain (n.),鍊,Kette,
swollen,腫,geschwollen,Schwellung,
director,董,Direktor,Aufsichtsrat
draw together,鍾,Gefühle auf etw. konzentrieren,Zuneigung empfinden
phlegm,痰,Auswurf,
disease,症,Krankheit,Krankheitsbild
hurt (v.),疼,wehtun,
get well,癒,gesund werden
epidemic,疫,Epidemie,
cancer,癌,Krebs,
fatigued,疲,ausgelaugt,
rapid,疾,rapide,mit hoher Geschwindigkeit
idiotic,痴,idiotisch,
tumor,瘤,Geschwulst,
trace (n.),痕,Spur,Abdruck
itch (v.),癢,jucken,
paralysis,癱,Lähmung,
sore (n.),瘡,Geschwür,
stable (adj.),穩,stabil,
hidden,隱,versteckt,
addiction,癮,Sucht,
gigantic,巨,gigantisch,enorm
canal,渠,Kanal,
refuse (v.),拒,ablehnen,
square (n.),矩,Tischlerwinkel,
distance,距,Distanz,Abstand
rectangular frame,框,rechteckiger Rahmen,
rectangular basket,筐,rechteckiger Korb,
smash (v.),砸,zerschlagen,mit Kraft aufschlagen
converge,匯,zusammenfließen,
artisan,匠,Handwerker,
bandit,匪,Bandit,
keep out of sight,匿,verbergen,
pocket,兜,Tasche,Beutel
vomit (v.),嘔,erbrechen,sich übergeben
hit (v.),毆,verprügeln,tätlich werden
human body,軀,menschlicher Körper,
hold one‘s head high,昂,den Kopf heben,das Kinn recken
curb (v.),抑,zügeln,zäumen
large-flowered plants,葵,großblütige Pflanze,
coworker,僚,Kollege,
far away,遼,weit und breit,weit entfernt
comprehend,瞭,verstehen,klar erkennen
cure (v.),療,heilen,
glare (v.),瞪,die Augen aufreißen,anglotzen
bench,凳,Sitzbank,
transparent,澄,klären,transparent
splash (v.),潑,schütten,mit Schwung gießen
allocate,撥,zuteilen,
fir tree,杉,Tanne,
well-mannered,彬,galant,kultiviert
shirt,衫,Hemd,
manifest (adj.),彰,offenkundig,sichtbar
puffy,膨,sich ausdehnen,anschwellen
take advantage of,趁,eine Gelegenheit nutzen,beim Schopf packen
diagnose,診,diagnostizieren,
seep,滲,versickern,
gum,膠,Gummi,
wrong (adj.),謬,falsch,irrig
deserted,寥,leerstehend,menschenleer
speck,斑,Fleck,
design (n.),紋,dekoratives Muster,Verzierung
small shovel,鏟,Schippe,
Samoa,薩,Samoa,
backbone,脊,Wirbelsäule,
letter,函,Brief,
culvert,涵,Durchlass,
reflect,映,reflektieren,
calamity,殃,Unheil,
plump,肥,fett,
crawl (v.),爬,kriechen,
scar (n.),疤,Narbe,
gorgeous,艷,farbenprächtig,
sugary,甜,zuckrig,
pliers,鉗,Zange,
matchmaker,媒,Ehevermittler,
coal,煤,Kohle,
scheme (v.),謀,aushecken,Strategem
chess,棋,Schach,
dupe (v.),欺,hinters Licht führen,
flag (n.),旗,Flagge,
hoarse,嘶,heiser,
rip (v.),撕,zerreißen,
tolerate,堪,ertragen,
survey (v.),勘,sichten,korrekturlesen
dispatch (v.),遣,entsenden,
censure (v.),譴,formell verurteilen,
sack (n.),囊,Sack,
burst (v.),潰,durchbrechen,langsam zerfallen
cupboard,櫃,Truhe,Kommode
fitting (adj.),宜,geziemend,
friendship,誼,Freundschaft,
rent (n./v.),租,mieten,
coarse,粗,grobkörnig,
block (v.),阻,blockieren,versperren
heap (v.),疊,aufeinanderschichten,
baseball base,壘,Baseball-Mal,
hoe (n./v.),鋤,Gartenhacke,
thicket,叢,Dickicht,Gestrüpp
plain (adj.),樸,schlicht,
pounce on,撲,sich auf jmdn. werfen,
servant,僕,Diener,
musical score,譜,Noten (Musik),
fool (v.),哄,übertölpeln,
deluge,洪,Hochwasser,
warm by a fire,烘,etw. am Feuer wärmen,
respectful,恭,respektvoll,
arch (n./v.),拱,sich wölben,
violent,暴,rabiat,jähzornig
waterfall,瀑,Wasserfall,
explode,爆,explodieren,
ceremonial hall,殿,Zeremonienhalle,
have on,戴,aufhaben,
wings,翼,Flügel,
dung,糞,Jauche,
compose,撰,verfassen,
mute (adj.),啞,stumm,
kettle,壺,Kanne,
crab (n.),蟹,Krabbe,
lax,懈,schlaff,
purchase (v.),購,anschaffen,
