one,一,eins,
die young,夭,jung sterben,
pretend,喬,vortäuschen,
bridge (n.),橋,Brücke,
attractive,嬌,reizend,zart
standing up (adj.),立,stehen,
weep,泣,schluchzen,
station (n.),站,Haltestelle,
chapter,章,Kapitel,
compete,競,konkurrieren,
sovereign (n.),帝,Imperator,
juvenile (n.),童,Knabe,
bell,鐘,Glocke,
salesman,商,Geschäftsmann,
suitable,適,geeignet,
enemy,敵,Feind,
ancient spoon,匕,altertümlicher Löffel,
north,北,Norden,
back (n.),背,Rücken,
compare,比,vergleichen,
descendants,昆,Abkömmling,
mix (v.),混,mischen,
all,皆,alle,
this (literary),此,dies (literarisch),
somewhat,些,einiges,einige
it,它,es,
purpose,旨,Zweck,
grease (n.),脂,Fett,
every,每,jedes,
small plum,梅,Asiatische Pflaume,
sea,海,Meer,
beg,乞,betteln,
eat,吃,essen,
dry (adj.),乾,trocken,
duplicate (v.),複,verdoppeln,
abdomen,腹,Unterleib,
lack (v.),欠,mangeln,
blow (v.),吹,blasen,
song,歌,Lied,
soft,軟,weich,
next,次,nächster,
assets,資,Kapital,
looks (n.),姿,Antlitz,
consult with,諮,Rat suchen,
compensate,賠,entschädigen,
cultivate,培,kultivieren,
sound (n.),音,Ton,
dark (adj.),暗,dunkel,
rhyme (n.),韻,Reim,
knowledge,識,Kenntnis,
streamer,幟,Fahne,
unexpectedly,竟,unerwartet,
mirror,鏡,Spiegel,
boundary,境,Umgrenzung,abgegrenzter Bereich
deceased (adj.),亡,verstorben,
blind (adj.),盲,blind,
absurd (adj.),妄,absurd,
expect,望,erwarten,
direction,方,Richtung,
hinder,妨,behindern,
release (v.),放,freilassen,
excite,激,erregen,
(all-purpose preposition),於,(Allzweckpräposition),
side (n.),旁,Seite,
convert (v.),兌,wechseln,umtauschen
undress,脫,ausziehen,
speak,說,sprechen,
formerly,曾,schon einmal,einst
increase (v.),增,vermehren,zunehmen
make a present of,贈,schenken,
east,東,Osten,
building,棟,Gebäude,
freeze (v.),凍,gefrieren,
also,也,auch,
she,她,sie,
ground (n.),地,Erdboden,
pond,池,Teich,
insects,蟲,Insekt,
serpent,蛇,Schlange,
egg,蛋,Ei,
wind (n.),風,Wind,
mock (v.),諷,verspotten,verhöhnen
self,己,selbst,
alter,改,ändern,
remember,記,sich merken,
already,已,schon,
wrap (v.),包,einwickeln,
bubbles,泡,Blase,
begin,起,anfangen,beginnen
house (n.),家,Familie,
site,場,Platz,
soup,湯,Suppe,
sheep,羊,Schaf,
beautiful,美,schön,
ocean,洋,Ozean,
fresh,鮮,frisch,
reach (v.),達,erreichen,gelangen nach
appearance,樣,Erscheinungsbild,
fall short of,差,hinter etwas zurückbleiben,Abweichung
gather,集,sammeln,
advance (v.),進,vorwärtsgehen,vorrücken
standard (n.),準,Standard,
who?,誰,wer?,
vend,售,veräußern,
although,雖,obwohl,
reliable,確,tatsächlich,
noon,午,Mittag,
permit (v.),許,erlauben,
feathers,羽,Feder,
learn,習,lernen,
soar,翔,in der Luft kreisen,
trapped,困,Schwierigkeit,
solid,固,fest,
country,國,Land,
round,圓,rund,
cause (n.),因,Ursache,
park (n.),園,Park,
return (v.),回,zurückkehren,wiederkehren
revolve,迴,kreisen,
picture (n.),圖,Bild,
store (n.),店,Geschäft,
warehouse,庫,Lagerhaus,
trousers,褲,Hose,
factory,廠,Fabrik,
bed,床,Bett,
hemp,麻,Hanf,
heart,心,Herz,
forget,忘,vergessen,
endure,忍,ertragen,aushalten
recognize,認,wiedererkennen,
aspiration,志,Bestreben,
annals,誌,Chronik,
consider,思,überlegen (V.),
idea,意,Idee,
think,想,denken,
