KEYWORD	TRANSLATION_01	TRANSLATION_02	TRANSLATION_03	TRANSLATION_04	TRANSLATION_05	TRANSLATION_06	TRANSLATION_07	TRANSLATION_08	TRANSLATION_09	TRANSLATION_10	TRADITIONAL	SIMPLIFIED	
correct (v./adj.)	aufrecht	senkrecht	berichtigen	korrigieren	korrekt								
politics	Politik												
settle on	bestimmen	festsetzen	beschließen										
walk (v.)	laufen												
transcend	übersteigen	über-	super-	übertreffen									
surpass	überschreiten	übersteigen	je mehr … desto …										
be	sein												
topic	Thema	Titel											
build	erbauen	errichten	aufbauen	bauen									
prolong	verlängern	ausdehnen	verschieben										
nativity	Geburt	Geburtstag	gebären										
clear (adj.)	klar	rein	ordentlich										
foundation	Sockel	Fundament											
clothing	Kleidung												
inside	innen	in											
grief	Trauer	Kummer											
Yuan	Yuan												
distant	fern	weit	entfernt	entlegen									
bad	schlecht	kaputt											
elementary	elementar	grundlegend	zu Beginn	anfangs									
towel	Tuch	Schal	Handtuch										
cloth	Stoff	Gewebe											
hat	Hut	Mütze											
curtain	Vorhang	Leinwand	Zelt										
cotton	Baumwolle												
help (v.)	helfen												
market (n.)	Markt												
lungs	Lunge												
sash	Band	Gürtel	Streifen	Gebiet	Zone								
stagnant	stocken	stagnieren	zähflüssig	blockieren	stauen								
thorn	Dorn	Stachel	stechen	pieksen									
system	System												
manufacture (v.)	herstellen	produzieren	erzeugen										
utter (v.)	sagen												
rain (n.)	Regen												
cloud (n.)	Wolke												
thunder (n.)	Donner												
electricity	Elektrizität												
frost (n.)	Raureif	Frost	Reif										
ice (n.)	Eis												
winter	Winter												
heavens	Himmel												
die young	jung sterben	früh sterben											
pretend	sich verkleiden	groß (gewachsen)	hoch										
bridge (n.)	Brücke												
attractive	zart	reizend	bezaubernd	weichlich	zimperlich								
standing up (adj.)	stehen												
weep	wimmern	schluchzen	weinen										
station (n.)	Haltestelle	Bahnhof	Station										
chapter	Kapitel	Abschnitt											
compete	konkurrieren	wetteifern	streiten	kämpfen									
sovereign (n.)	Kaiser	Gott											
juvenile (n.)	Knabe	Kind											
bell	Glocke	Uhr	Uhrzeit										
salesman	Handel	Kaufmann	Geschäft	Geschäftsleben									
suitable	geeignet	angemessen	brauchbar	passend									
enemy	Feind	Gegner											
ancient spoon	altertümlicher Löffel	Löffel											
north	Norden												
back (n.)	Rücken												
compare	vergleichen												
descendants	Abkomme	Abkömmling	Nachkommenschaft	Nachkömmling									
mix (v.)	mischen	vermischen	vermengen										
all	alle	jeder	allgemein	ganz									
this (literary)	dies	dieser	(literarisch od. gehobenes, Schriftsprache)										
somewhat	einige	etwas											
it	es												
purpose	Ziel	Zweck											
grease (n.)	Fett	Talg	Schmalz										
every	jeder												
small plum	Ume	Japanische Pflaume											
sea	Meer												
beg	betteln												
eat	essen												
dry (adj.)	trocken												
duplicate (v.)	doppelt	wiederholt	vervielfältigen	komplex	zusammengesetzt								
abdomen	Abdomen	Unterleib											
lack (v.)	gähnen	schulden	mangelnd	nicht genug									
blow (v.)	blasen	wehen											
song	Lied	Gesang											
soft	weich	geschmeidig	mild	sanft									
next	Mal	zweite	nächst										
assets	Kapital												
looks (n.)	Aussehen	Antlitz											
consult with	konsultieren	befragen											
compensate	kompensieren	jnd. entschädigen											
cultivate	um etw. Erde anhäufen	erziehen	ausbilden	züchten	heranbilden								
sound (n.)	Ton	Laut	Schall										
dark (adj.)	dunkel	finster	geheim	heimlich									
rhyme (n.)	Reim												
knowledge	Wissen	Kenntnis											
streamer	Fahne	Flagge	Banner										
unexpectedly	unerwartet	unvermutet											
mirror	Spiegel												
boundary	Rand	Grenze	Begrenzung										
deceased (adj.)	gestorben	selig	sterben										
blind (adj.)	blind												
absurd (adj.)	absurd	widersinnig	paradox										
expect	hoffen	erwarten											
direction	Richtung	Orientierung	Quadrat										
hinder	hindern	behindern	hemmen										
release (v.)	freilassen	loslassen	legen	stellen									
excite	branden	erregen	anreizen										
(all-purpose preposition)	Allzweckpräposition	an, als, aus, bei, in, von, zu											
side (n.)	Seite												
convert (v.)	wechseln	umtauschen											
undress	ausziehen												
speak	sprechen	sagen	erklären	erläutern									
formerly	schon einmal	früher einmal											
increase (v.)	vermehren	steigern	zunehmen										
make a present of	schenken	überreichen	Geschenke machen										
east	Osten												
building	Gebäude	First	Dachfirst										
freeze (v.)	frieren	gefrieren	einfrieren	Gelee									
also	auch												
she	sie												
ground (n.)	Boden												
pond	Teich	Weiher											
insects	Insekt	Wurm											
serpent	Schlange												
egg	Ei												
wind (n.)	Wind												
mock (v.)	spotten	verspotten	höhnen	verhöhnen	eine Satire auf etw. verfassen								
self	selbst	sich	persönlich										
alter	ändern	verändern	korrigieren	verwandeln									
remember	sich erinnern	aufschreiben	niederschreiben	sich merken									
already	schon	bereits											
wrap (v.)	einwickeln	einpacken	Paket	Beutel	Tasche								
bubbles	Blase												
begin	aufstehen	beginnen	aufbrechen										
house (n.)	Familie	Haushalt	Haus	Heim									
site	Platz												
soup	Suppe												
sheep	Schaf												
beautiful	schön												
ocean	Ozean												
fresh	frisch												
reach (v.)	erreichen	erlangen											
appearance	Aussehen	Äußere											
fall short of	Unterschied	Abweichung	nicht übereinstimmen	nicht gleichen	ermangeln	fehlen							
gather	sammeln	sich versammeln	Sammlung										
advance (v.)	vorwärtsgehen	vorrücken	hineingehen	betreten									
standard (n.)	Norm	Standard	genau	exakt	gewiss	bestimmt							
who?	wer												
vend	verkaufen	absetzen											
although	obwohl	zwar											
reliable	fest	wirklich	tatsächlich										
noon	Mittag	Jahr des Pferdes											
permit (v.)	erlauben	gestatten	genehmigen	versprechen									
